timestamp,Month,solar_power_per_mw
2022-01-01 00:00:00,Jan,0
2022-01-01 01:00:00,Jan,0
2022-01-01 02:00:00,Jan,0
2022-01-01 03:00:00,Jan,0
2022-01-01 04:00:00,Jan,0
2022-01-01 05:00:00,Jan,0
2022-01-01 06:00:00,Jan,0
2022-01-01 07:00:00,Jan,0
2022-01-01 08:00:00,Jan,12985
2022-01-01 09:00:00,Jan,57967
2022-01-01 10:00:00,Jan,90131
2022-01-01 11:00:00,Jan,109033
2022-01-01 12:00:00,Jan,106708
2022-01-01 13:00:00,Jan,84271
2022-01-01 14:00:00,Jan,49921
2022-01-01 15:00:00,Jan,8718
2022-01-01 16:00:00,Jan,0
2022-01-01 17:00:00,Jan,0
2022-01-01 18:00:00,Jan,0
2022-01-01 19:00:00,Jan,0
2022-01-01 20:00:00,Jan,0
2022-01-01 21:00:00,Jan,0
2022-01-01 22:00:00,Jan,0
2022-01-01 23:00:00,Jan,0
2022-02-01 00:00:00,Feb,0
2022-02-01 01:00:00,Feb,0
2022-02-01 02:00:00,Feb,0
2022-02-01 03:00:00,Feb,0
2022-02-01 04:00:00,Feb,0
2022-02-01 05:00:00,Feb,0
2022-02-01 06:00:00,Feb,0
2022-02-01 07:00:00,Feb,6044
2022-02-01 08:00:00,Feb,65414
2022-02-01 09:00:00,Feb,139454
2022-02-01 10:00:00,Feb,194280
2022-02-01 11:00:00,Feb,235329
2022-02-01 12:00:00,Feb,244119
2022-02-01 13:00:00,Feb,198189
2022-02-01 14:00:00,Feb,137413
2022-02-01 15:00:00,Feb,64035
2022-02-01 16:00:00,Feb,11212
2022-02-01 17:00:00,Feb,0
2022-02-01 18:00:00,Feb,0
2022-02-01 19:00:00,Feb,0
2022-02-01 20:00:00,Feb,0
2022-02-01 21:00:00,Feb,0
2022-02-01 22:00:00,Feb,0
2022-02-01 23:00:00,Feb,0
2022-03-01 00:00:00,Mar,0
2022-03-01 01:00:00,Mar,0
2022-03-01 02:00:00,Mar,0
2022-03-01 03:00:00,Mar,0
2022-03-01 04:00:00,Mar,0
2022-03-01 05:00:00,Mar,0
2022-03-01 06:00:00,Mar,9032
2022-03-01 07:00:00,Mar,90440
2022-03-01 08:00:00,Mar,178880
2022-03-01 09:00:00,Mar,250568
2022-03-01 10:00:00,Mar,311177
2022-03-01 11:00:00,Mar,354916
2022-03-01 12:00:00,Mar,360096
2022-03-01 13:00:00,Mar,314190
2022-03-01 14:00:00,Mar,248597
2022-03-01 15:00:00,Mar,172348
2022-03-01 16:00:00,Mar,81924
2022-03-01 17:00:00,Mar,9182
2022-03-01 18:00:00,Mar,0
2022-03-01 19:00:00,Mar,0
2022-03-01 20:00:00,Mar,0
2022-03-01 21:00:00,Mar,0
2022-03-01 22:00:00,Mar,0
2022-03-01 23:00:00,Mar,0
2022-04-01 00:00:00,Apr,0
2022-04-01 01:00:00,Apr,0
2022-04-01 02:00:00,Apr,0
2022-04-01 03:00:00,Apr,0
2022-04-01 04:00:00,Apr,0
2022-04-01 05:00:00,Apr,17373
2022-04-01 06:00:00,Apr,94686
2022-04-01 07:00:00,Apr,200144
2022-04-01 08:00:00,Apr,305287
2022-04-01 09:00:00,Apr,390110
2022-04-01 10:00:00,Apr,456692
2022-04-01 11:00:00,Apr,496261
2022-04-01 12:00:00,Apr,490728
2022-04-01 13:00:00,Apr,444831
2022-04-01 14:00:00,Apr,367959
2022-04-01 15:00:00,Apr,273187
2022-04-01 16:00:00,Apr,161490
2022-04-01 17:00:00,Apr,58883
2022-04-01 18:00:00,Apr,5072
2022-04-01 19:00:00,Apr,0
2022-04-01 20:00:00,Apr,0
2022-04-01 21:00:00,Apr,0
2022-04-01 22:00:00,Apr,0
2022-04-01 23:00:00,Apr,0
2022-05-01 00:00:00,May,0
2022-05-01 01:00:00,May,0
2022-05-01 02:00:00,May,0
2022-05-01 03:00:00,May,0
2022-05-01 04:00:00,May,9000
2022-05-01 05:00:00,May,63705
2022-05-01 06:00:00,May,154660
2022-05-01 07:00:00,May,261931
2022-05-01 08:00:00,May,367249
2022-05-01 09:00:00,May,448192
2022-05-01 10:00:00,May,503734
2022-05-01 11:00:00,May,537622
2022-05-01 12:00:00,May,529331
2022-05-01 13:00:00,May,487289
2022-05-01 14:00:00,May,417729
2022-05-01 15:00:00,May,321941
2022-05-01 16:00:00,May,214179
2022-05-01 17:00:00,May,107089
2022-05-01 18:00:00,May,30748
2022-05-01 19:00:00,May,670
2022-05-01 20:00:00,May,0
2022-05-01 21:00:00,May,0
2022-05-01 22:00:00,May,0
2022-05-01 23:00:00,May,0
2022-06-01 00:00:00,Jun,0
2022-06-01 01:00:00,Jun,0
2022-06-01 02:00:00,Jun,0
2022-06-01 03:00:00,Jun,0
2022-06-01 04:00:00,Jun,20622
2022-06-01 05:00:00,Jun,78930
2022-06-01 06:00:00,Jun,168075
2022-06-01 07:00:00,Jun,266282
2022-06-01 08:00:00,Jun,363677
2022-06-01 09:00:00,Jun,446702
2022-06-01 10:00:00,Jun,488918
2022-06-01 11:00:00,Jun,524612
2022-06-01 12:00:00,Jun,522709
2022-06-01 13:00:00,Jun,483388
2022-06-01 14:00:00,Jun,426271
2022-06-01 15:00:00,Jun,343651
2022-06-01 16:00:00,Jun,243197
2022-06-01 17:00:00,Jun,137481
2022-06-01 18:00:00,Jun,52180
2022-06-01 19:00:00,Jun,8424
2022-06-01 20:00:00,Jun,0
2022-06-01 21:00:00,Jun,0
2022-06-01 22:00:00,Jun,0
2022-06-01 23:00:00,Jun,0
2022-07-01 00:00:00,Jul,0
2022-07-01 01:00:00,Jul,0
2022-07-01 02:00:00,Jul,0
2022-07-01 03:00:00,Jul,0
2022-07-01 04:00:00,Jul,9230
2022-07-01 05:00:00,Jul,60539
2022-07-01 06:00:00,Jul,144453
2022-07-01 07:00:00,Jul,246749
2022-07-01 08:00:00,Jul,342524
2022-07-01 09:00:00,Jul,422992
2022-07-01 10:00:00,Jul,473669
2022-07-01 11:00:00,Jul,513546
2022-07-01 12:00:00,Jul,515618
2022-07-01 13:00:00,Jul,479149
2022-07-01 14:00:00,Jul,423117
2022-07-01 15:00:00,Jul,339671
2022-07-01 16:00:00,Jul,238458
2022-07-01 17:00:00,Jul,131512
2022-07-01 18:00:00,Jul,47457
2022-07-01 19:00:00,Jul,5092
2022-07-01 20:00:00,Jul,0
2022-07-01 21:00:00,Jul,0
2022-07-01 22:00:00,Jul,0
2022-07-01 23:00:00,Jul,0
2022-08-01 00:00:00,Aug,0
2022-08-01 01:00:00,Aug,0
2022-08-01 02:00:00,Aug,0
2022-08-01 03:00:00,Aug,0
2022-08-01 04:00:00,Aug,0
2022-08-01 05:00:00,Aug,28964
2022-08-01 06:00:00,Aug,106169
2022-08-01 07:00:00,Aug,206471
2022-08-01 08:00:00,Aug,302241
2022-08-01 09:00:00,Aug,380007
2022-08-01 10:00:00,Aug,436979
2022-08-01 11:00:00,Aug,474942
2022-08-01 12:00:00,Aug,475631
2022-08-01 13:00:00,Aug,434589
2022-08-01 14:00:00,Aug,367063
2022-08-01 15:00:00,Aug,285722
2022-08-01 16:00:00,Aug,182331
2022-08-01 17:00:00,Aug,83189
2022-08-01 18:00:00,Aug,14692
2022-08-01 19:00:00,Aug,0
2022-08-01 20:00:00,Aug,0
2022-08-01 21:00:00,Aug,0
2022-08-01 22:00:00,Aug,0
2022-08-01 23:00:00,Aug,0
2022-09-01 00:00:00,Sep,0
2022-09-01 01:00:00,Sep,0
2022-09-01 02:00:00,Sep,0
2022-09-01 03:00:00,Sep,0
2022-09-01 04:00:00,Sep,0
2022-09-01 05:00:00,Sep,944
2022-09-01 06:00:00,Sep,50696
2022-09-01 07:00:00,Sep,137383
2022-09-01 08:00:00,Sep,226469
2022-09-01 09:00:00,Sep,293124
2022-09-01 10:00:00,Sep,349312
2022-09-01 11:00:00,Sep,379410
2022-09-01 12:00:00,Sep,367883
2022-09-01 13:00:00,Sep,327508
2022-09-01 14:00:00,Sep,258284
2022-09-01 15:00:00,Sep,177113
2022-09-01 16:00:00,Sep,85118
2022-09-01 17:00:00,Sep,14293
2022-09-01 18:00:00,Sep,0
2022-09-01 19:00:00,Sep,0
2022-09-01 20:00:00,Sep,0
2022-09-01 21:00:00,Sep,0
2022-09-01 22:00:00,Sep,0
2022-09-01 23:00:00,Sep,0
2022-10-01 00:00:00,Oct,0
2022-10-01 01:00:00,Oct,0
2022-10-01 02:00:00,Oct,0
2022-10-01 03:00:00,Oct,0
2022-10-01 04:00:00,Oct,0
2022-10-01 05:00:00,Oct,0
2022-10-01 06:00:00,Oct,1917
2022-10-01 07:00:00,Oct,61319
2022-10-01 08:00:00,Oct,134332
2022-10-01 09:00:00,Oct,187230
2022-10-01 10:00:00,Oct,235066
2022-10-01 11:00:00,Oct,265211
2022-10-01 12:00:00,Oct,241758
2022-10-01 13:00:00,Oct,197745
2022-10-01 14:00:00,Oct,136213
2022-10-01 15:00:00,Oct,66444
2022-10-01 16:00:00,Oct,7146
2022-10-01 17:00:00,Oct,0
2022-10-01 18:00:00,Oct,0
2022-10-01 19:00:00,Oct,0
2022-10-01 20:00:00,Oct,0
2022-10-01 21:00:00,Oct,0
2022-10-01 22:00:00,Oct,0
2022-10-01 23:00:00,Oct,0
2022-11-01 00:00:00,Nov,0
2022-11-01 01:00:00,Nov,0
2022-11-01 02:00:00,Nov,0
2022-11-01 03:00:00,Nov,0
2022-11-01 04:00:00,Nov,0
2022-11-01 05:00:00,Nov,0
2022-11-01 06:00:00,Nov,0
2022-11-01 07:00:00,Nov,3362
2022-11-01 08:00:00,Nov,42586
2022-11-01 09:00:00,Nov,76476
2022-11-01 10:00:00,Nov,114300
2022-11-01 11:00:00,Nov,130303
2022-11-01 12:00:00,Nov,117576
2022-11-01 13:00:00,Nov,80368
2022-11-01 14:00:00,Nov,42746
2022-11-01 15:00:00,Nov,6959
2022-11-01 16:00:00,Nov,0
2022-11-01 17:00:00,Nov,0
2022-11-01 18:00:00,Nov,0
2022-11-01 19:00:00,Nov,0
2022-11-01 20:00:00,Nov,0
2022-11-01 21:00:00,Nov,0
2022-11-01 22:00:00,Nov,0
2022-11-01 23:00:00,Nov,0
2022-12-01 00:00:00,Dec,0
2022-12-01 01:00:00,Dec,0
2022-12-01 02:00:00,Dec,0
2022-12-01 03:00:00,Dec,0
2022-12-01 04:00:00,Dec,0
2022-12-01 05:00:00,Dec,0
2022-12-01 06:00:00,Dec,0
2022-12-01 07:00:00,Dec,0
2022-12-01 08:00:00,Dec,8327
2022-12-01 09:00:00,Dec,45042
2022-12-01 10:00:00,Dec,71564
